�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
1526,2012/3/30,Enphase Energy ,ENPH,Morgan Stanley/ BofA Merrill Lynch/ Deutsche Bank Securities,6,7.5,7.34,0.2233
1527,2012/3/30,GasLog Ltd.  ,GLOG,"Goldman, Sachs/ Citigroup",14,12.5,12.41,-0.1136
1528,2012/4/4,TCP Capital ,TCPC,Deutsche Bank Securities/ Stifel Nicolaus Weisel,14.75,14.25,14.55,-0.0136
1529,2012/4/5,Retail Properties of America ,RPAI,J.P. Morgan/ Citigroup/ Deutsche Bank Securities/ KeyBanc Capital Markets,8,8.78,8.75,0.0938
1530,2012/4/11,Erickson Air-Crane ,EAC,Stifel Nicolaus Weisel/Oppenheimer/ Lazard Capital Markets,8,8.08,8,0
1531,2012/4/12,Forum Energy Technologies ,FET,J.P. Morgan/BofA Merrill Lynch/ Credit Suisse/ Citigroup/ Deutsche Bank Securities,20,22.5,21.75,0.0875
1532,2012/4/12,MRC Global ,MRC,"Goldman, Sachs/ Barclays ",21,20.5,21.04,0.0019
1533,2012/4/12,Oaktree Capital Group ,OAK,"Goldman, Sachs/ Morgan Stanley",43,41,42.39,-0.0142
1534,2012/4/17,Digital Cinema Destinations ,DCIN,Maxim Group/ Dominick & Dominick,6.1,5.9,6.17,0.0115
1535,2012/4/18,SandRidge Mississippian Trust II ,SDR,Morgan Stanley/ Raymond James,21,21.8,21.4,0.019
1536,2012/4/19,Splunk ,SPLK,Morgan Stanley/ Credit Suisse/ J.P. Morgan/ BofA Merrill Lynch,17,32,35.48,1.0871
1537,2012/4/19,Tumi Holdings ,TUMI,"Goldman, Sachs/ Credit Suisse/ J.P. Morgan",18,26,26.5,0.4722
1538,2012/4/20,Infoblox ,BLOX,"Morgan Stanley/ Goldman, Sachs/ UBS Securities",16,22.5,21.3,0.3313
1539,2012/4/20,Midstates Petroleum ,MPO,"Goldman, Sachs/ Morgan Stanley/ Wells Fargo Securities",13,13.25,15.03,0.1562
1540,2012/4/20,Proofpoint ,PFPT,Credit Suisse/ Deutsche Bank Securities,13,16.85,14.05,0.0808
1541,2012/4/25,ClearSign  ,CLIR,MDB Capital Group LLC,4,4.11,4.2,0.05
1542,2012/4/25,Envivio ,ENVI,"Goldman, Sachs/ Deutsche Bank Securities/ Stifel Nicolaus Weisel",9,9.35,8.49,-0.0567
1543,2012/4/26,Ares Commercial Real Estate ,ACRE,Wells Fargo Securities/ Citigroup/ BofA Merrill Lynch/ J.P. Morgan,18.5,18.13,18,-0.027
1544,2012/4/27,Acquity Group Limited ,AQ,Citigroup/ Oppenheimer,6,6,5.75,-0.0417
1545,2012/4/27,Edgen Group ,EDG,Jefferies/ Morgan Stanley/ Citigroup,11,10.35,9.5,-0.1364
1546,2012/5/1,Supernus Pharmaceuticals ,SUPN,Citigroup/ Piper Jaffray,5,6.5,5.37,0.074
1547,2012/5/3,Carlyle Group L.P. ,CG,J.P. Morgan/ Citigroup/ Credit Suisse,22,22,22.05,0.0023
1548,2012/5/3,EverBank Financial ,EVER,"Goldman, Sachs/ BofA Merrill Lynch/ Credit Suisse",10,10.4,10.6,0.06
1549,2012/5/3,Pacific Coast Oil Trust ,ROYT,Barclays/ Citigroup/ BofA Merrill Lynch/ J.P. Morgan/ UBS Investment Bank/ Wells Fargo Securities,20,20,20,0
1550,2012/5/4,PetroLogistics LP ,PDH,Morgan Stanley/ Citigroup/ UBS Investment Bank,17,16.5,16.5,-0.0294
1551,2012/5/4,Tillys ,TLYS,"Goldman, Sachs/ BofA Merrill Lynch/ Piper Jaffray",15.5,18.8,16.81,0.0845
1552,2012/5/10,Audience ,ADNC,J.P. Morgan/ Credit Suisse/ Deutsche Bank Securities,17,19,19,0.1176
1553,2012/5/10,WageWorks ,WAGE,William Blair & Company/ Stifel Nicolaus Weisel,9,9.99,9.99,0.11
1554,2012/5/10,Western Asset Management Capital ,WMC,Deutsche Bank Securities/ J.P. Morgan/ Citigroup/ Jefferies,20,18.8,18.8,-0.06
1555,2012/5/11,Edwards Group ,EVAC,Jefferies/ Morgan Stanley/ Citigroup,8,8.12,8.75,0.0938
1556,2012/5/11,Ignite Restaurant Group ,IRG,Credit Suisse/ Bair/ Piper Jaffray,14,16.75,17.13,0.2236
1557,2012/5/18,Facebook ,FB,"Morgan Stanley/ J.P. Morgan/ Goldman, Sachs",38,42,38.23,0.0061
1558,2012/6/28,TESARO ,TSRO,Citigroup/ Morgan Stanley/ Leerink Swann,13,14,13.69,0.0531
1559,2012/6/27,"EQT Midstream Partners, LP ",EQM,Citigroup/ Barclays,21,23,23.75,0.131
1560,2012/6/28,Exa Corporation ,EXA,Stifel Nicolaus Weisel,10,10,9.98,-0.002
1561,2012/6/29,ServiceNow  ,NOW,Morgan Stanley/ Citigroup/ Deutsche Bank Securities,18,23.75,24.6,0.3667
1562,2012/7/19,Durata Therapeutics ,DRTX,BofA Merrill Lynch/ Credit Suisse,9,10,9.04,0.0044
1563,2012/7/19,Five Below ,FIVE,"Goldman, Sachs/ Barclays/ Jefferies",17,26.05,26.5,0.5588
1564,2012/7/20,Infinity Cross Border Acquisition ,INXBU,EarlyBirdCapital,8,8.01,8.01,0.0012
1565,2012/7/20,KAYAK Software ,KYAK,Morgan Stanley/ Deutsche Bank Securities,26,30.1,33.18,0.2762
1566,2012/7/20,Palo Alto Networks ,PANW,"Morgan Stanley/ Goldman, Sachs/ Citigroup",42,55.15,53.13,0.265
1567,2012/7/24,Chuy's Holdings ,CHUY,Jefferies/ Baird,13,15,15.06,0.1585
1568,2012/7/25,Natural Grocers by Vitamin Cottage  ,NGVC,SunTrust Robinson Humphrey/ Piper Jaffray,15,18,17.86,0.1907
1569,2012/7/26,E2open ,EOPN,BofA Merrill Lynch,15,14.14,13.6,-0.0933
1570,2012/7/26,Hyperion Therapeutics ,HPTX,Leerink Swann/ Cowen,10,10.31,10.11,0.011
1571,2012/7/26,Northern Tier Energy ,NTI,"Goldman, Sachs/ Barclays/ BofA Merrill Lynch",14,13.66,14.16,0.0114
1572,2012/7/27,AmREIT ,AMRE,Jefferies/ Baird,14,14,14.02,0.0014
1573,2012/7/27,Del Friscos Restaurant Group ,DGRG,Deutsche Bank Securities/ Piper Jaffray/ Wells Fargo Securities,13,12.75,13,0
1574,2012/8/2,Eloqua Limited ,ELOQ,J.P. Morgan/ Deutsche Bank Securities,11.5,12,12.89,0.1209
1575,2012/8/2,Hyde Park Acquisition Corp. II ,HPAC,Deutsche Bank Securities,10,10,10.03,0.003
1576,2012/8/8,Bloomin Brands ,BLMN,"BofA Merrill Lynch/ Morgan Stanley/ J.P. Morgan/ Deutsche Bank Securities/ Goldman, Sachs",11,11.6,12.41,0.1282
1577,2012/8/8,Peregrine Semiconductor ,PSMI,Deutsche Bank Securities/ J.P. Morgan,14,15,14.71,0.0507
1578,2012/8/10,Manchester United Ltd. ,MANU,Jefferies/ Credit Suisse/ J.P. Morgan/ BofA Merrill Lynch/ Deutsche Bank Securities,14,14.05,14,0
1579,2012/8/10,Performant Financial ,PFMT,"Morgan Stanley/ Goldman, Sachs/ Credit Suisse/ Wells Fargo Securities",9,9.25,10.6,0.1778
1580,2012/8/16,Hi-Crush Partners LP ,HCLP,Barclays/ Morgan Stanley/ Credit Suisse/ UBS Investment Bank,17,17,20,0.1765
1581,2012/9/20,Capital Bank Financial ,CBF,"Credit Suisse/ BofA Merrill Lynch/ Goldman, Sachs/ Barclays/ FBR",18,18.1,18.19,0.0106
1582,2012/9/20,National Bank Holdings,NBHC,"Goldman, Sachs/ Keefe, Bruyette & Woods",19.25,20.25,19.6,0.0182
1583,2012/9/20,Spirit Realty Capital ,SRC,Morgan Stanley,15,15,15,0
1584,2012/9/20,Susser Petroleum Partners LP ,SUSP,BofA Merrill Lynch/ Barclays/ Wells Fargo Securities/ UBS Investment Bank,20.5,23.4,22.91,0.1176
1585,2012/9/20,Trulia ,TRLA,J.P. Morgan/ Deutsche Bank Securities,17,22.1,24,0.4118
1586,2012/9/26,Santander México Financial Group ,BSMX,UBS Investment Bank/ Duetsche Bank/ BofA Merrill Lynch,12.18,12.6,12.91,0.0595
1587,2012/9/28,Qualys ,QLYS,J.P. Morgan/ Credit Suisse,12,12,14.16,0.18
1588,2012/9/28,"Summit Midstream Partners, LP ",SMLP,"Barclays/ BofA Merrill Lynch/ Goldman, Sachs/ Morgan Stanley",20,21,21.11,0.0555
1589,2012/10/3,JAVELIN Mortgage Investment ,JMI,Deutsche Bank Securities/ Citigroup/ Barclays/ Credit Suisse,20,19.75,19.6,-0.02
1590,2012/10/3,LifeLock ,LOCK,"Goldman, Sachs/ BofA Merrill Lynch/ Deutsche Bank Securities",9,8.38,8.36,-0.0711
1591,2012/10/3,Luxfer Holdings PLC  ,LXFR,Credit Suisse/ Jefferies,10,11,11.06,0.106
1592,2012/10/4,Berry Plastics Group  ,BERY,BofA Merrill Lynch/ Citigroup/ Barclays/ Deutsche Bank Securities,16,15.25,15.2,-0.05
1593,2012/10/4,Dave & Buster’s Entertainment ,PLAY,BofA Merrill Lynch/ Citigroup/ Barclays/ Deutsche Bank Securities,16,15.25,15.2,-0.05
1594,2012/10/4,Regulus Therapeutics ,RGLS,Lazard Capital Markets/ Cowen and Company/ BMO Capital Markets,4,4.73,4.2,0.05
1595,2012/10/5,FleetMatics Group plc ,FLTX,BofA Merrill Lynch/ Barclays,17,22.95,22.3,0.3118
1596,2012/10/10,Ambarella ,AMBA,Morgan Stanley/ Deutsche Bank Securities,6,6.71,6.06,0.01
1597,2012/10/10,Amira Nature Foods ,ANFI,UBS Investment Bank/ Deutsche Bank Securities,10,10,9.58,-0.042
1598,2012/10/11,Intercept Pharmaceuticals ,ICPT,BofA Merrill Lynch,15,19.4,20.4,0.36
1599,2012/10/11,KYTHERA Biopharmaceuticals ,KYTH,"J.P. Morgan/ Goldman, Sachs",16,18.49,19.79,0.2369
1600,2012/10/11,Realogy Holdings  ,RLGY,"Goldman, Sachs/ J.P. Morgan/ Barclays/ Credit Suisse",27,32.85,34.2,0.2667
1601,2012/10/11,Shutterstock ,SSTK,Morgan Stanley/ Deutsche Bank Securities/ Jefferies,17,22.5,21.66,0.2741
1602,2012/10/12,Diamondback Energy ,FANG,Credit Suisse,17.5,17.82,17.5,0
1603,2012/10/12,Linn Co LLC   ,LNCO,Barclays/ Citigroup/ RBC Capital Markets/ Wells Fargo Securities/ BofA Merrill Lynch/ Credit Suisse/ Raymond James / UBS Investment Bank,36.5,36.78,38.26,0.0482
1604,2012/10/12,Workday ,WDAY,"Morgan Stanley/ Goldman, Sachs",28,48.05,48.69,0.7389
1605,2012/10/19,Seadrill Partners ,SDLP,Citigroup/ Morgan Stanley/ Wells Fargo Securities,22,24,24.37,0.1077
1606,2012/10/24,Collabrium Japan Acquisition (JACQU),JACQU,PrinceRidge,10,10.02,10.03,0.003
1607,2012/10/25,Lehigh Gas Partners LP ,LGP,Raymond James,20,21.41,20.23,0.0115
1608,2012/10/25,Methes Energies International ,MEILU,Paulson Investment/ Barrett & Company,5,5.08,4.86,-0.028
1609,2012/10/25,Monroe Capital ,MRCC,Baird/ William Blair/ Janney Montgomery Scott,15,14.7,15.25,0.0167
1610,2012/10/26,Aquasition  ,AQUUU,Lazard Capital Markets,10,9.95,10,0
1611,2012/10/26,MPLX LP ,MPLX,UBS Investment Bank/ BofA Merrill Lynch/ Morgan Stanley/ Citigroup/ J.P. Morgan,22,25.5,27.2,0.2364
1612,2012/10/26,WhiteWave Foods (The) ,WWAV,J.P. Morgan/ Credit Suisse/ BofA Merrill Lynch,17,19,16.75,-0.0147
1613,2012/11/2,"Delek Logistics Partners, LP ",DKL,BofA Merrill Lynch/ Barclays,21,23.11,22.35,0.0643
1614,2012/11/2,"Southcross Energy Partners, L.P ",SXE,Citigroup/ Wells Fargo Securities/ Barclays/ J.P. Morgan,20,22,22.35,0.1175
1615,2012/11/2,Restoration Hardware Holdings  ,RH,"BofA Merrill Lynch/ Goldman, Sachs ",24,32.05,33.3,0.3875
1616,2012/11/8,Atossa Genetics ,ATOS,Dawson James Securities,5,4.4,4.8,-0.04
1617,2012/11/8,OFS Capital ,OFS,Morgan Stanley/ UBS Investment Bank/ Barclays/ RBC Capital Markets,15,14.64,14.35,-0.0433
1618,2012/11/8,Stellus Capital Investment ,SCM,"Raymond James/ Stifel, Nicolaus ",15,15,15.08,0.0053
1619,2012/11/16,Ruckus Wireless  ,RKUS,"Goldman, Sachs/ Morgan Stanley",15,15,12.25,-0.1833
1620,2012/11/16,"Alon USA Partners, LP ",ALDW,"Goldman, Sachs/ Credit Suisse/ Citigroup",16,17,18.4,0.15
1621,2012/11/21,YY Inc. ,YY,Morgan Stanley/ Deutsche Bank Securities/ Citigroup,10.5,10.5,11.31,0.0771
1622,2012/12/5,WhiteHorse Finance ,WHF,Deutsche Bank Securities/ J.P. Morgan/ Citigroup/ Barclays,15,14,13.9,-0.0733
1623,2012/12/7,"Western Gas Equity Partners, LP ",WGP,Barclays/ Citigroup/ Deutsche Bank Securities/ Morgan Stanley,22,27.18,28,0.2727
1624,2012/12/13,PBF Energy ,PBF,Citigroup/ Morgan Stanley/ Credit Suisse/ Deutsche Bank Securities,26,28,26.25,0.0096
1625,2012/12/13,SolarCity ,SCTY,"Goldman, Sachs/ Credit Suisse/ BofA Merrill Lynch",8,9.25,11.79,0.4738
1626,2012/12/14,Chart Acquisition ,CACGU,Deutsche Bank Securities / Cowen and Company,10,10.01,10,0
1627,2012/12/14,Silver Bay Realty Trust ,SBY,Credit Suisse/ BofA Merrill Lynch / J.P. Morgan,18.5,18.7,18.24,-0.0141
1628,2012/12/19,CIS Acquisition Ltd. ,CISAU,Chardan Capital Markets,10,10.01,10.03,0.003
1629,2012/12/19,Sprott Physical Platinum and Palladium Trust  ,SPPP,Morgan Stanley/ RBC Capital Markets,10,9.48,9.9,-0.01
1630,2011/1/13,American Assets Trust ,AAT,BofA Merrill Lynch/ Wells Fargo Securities/ Morgan Stanley,20.5,21.53,21.25,0.0366
1631,2011/1/26,Demand Media ,DMD,"Goldman, Sachs/ Morgan Stanley",17,23.5,22.68,0.3341
1632,2011/1/26,Nielsen ,NSLN,J.P. Morgan/Morgan Stanley,23,24.75,25.01,0.0874
1633,2011/1/28,BankUnited  ,BKU,"Morgan Stanley/ BofA Merrill Lynch/ Deutsche Bank Securities/ Goldman, Sachs",27,29.6,28.4,0.0519
1634,2011/1/28,BCD Semiconductor Manufacturing ,BCDS,Jefferies/ Stifel Nicolaus Weisel,10.5,10.52,10.5,0
1635,2011/1/28,InterXion Holding N.V.  ,INXN,BofA Merrill Lynch/ Citi/ Barclays Capital,13,14.5,13.8,0.0615
1636,2011/1/28,Adecoagro S.A.,AGRO,Credit Suisse/ Morgan Stanley/ Itau BBA / Deutsche Bank Securities,11,10.75,12,0.0909
1637,2011/2/2,Epocrates ,EPOC,J.P.Morgan/ Piper Jaffray,16,20,21.96,0.3725
1638,2011/2/2,NeoPhotonics ,NPTN,BofA Merrill Lynch/ Deutsche Bank Securities,11,14,13.25,0.2045
1639,2011/2/3,Pacira Pharmaceuticals ,PCRX,Barclays Capital/ Piper Jaffray,7,7,7.02,0.0029
1640,2011/2/3,Tornier B.V. ,TRNX,BofA Merrill Lynch/J.P. Morgan,19,19,18.05,-0.05
1641,2011/2/3,Trunkbow International Holdings ,TBOW,Roth Capital Partners,5,4.65,4.74,-0.052
1642,2011/2/4,Endocyte ,ECYT,RBC Capital Markets/ Leerink Swann,6,6.4,7.73,0.2883
1643,2011/2/4,BG Medicine ,BGMD,Lazard Capital Markets,7,7.38,8.05,0.15
1644,2011/2/8,China Century Dragon Media ,CDM,WestPark Capital/I-Bankers Securities,5.25,5.25,5.3,0.0095
1645,2011/2/8,Imperial Holdings ,IFT,FBR Capital Markets,10.75,10.75,10.81,0.0056
1646,2011/2/9,Gevo ,GEVO,UBS Investment Bank/ Piper Jaffray/ Citi,15,15.6,16.44,0.096
1647,2011/2/9,Summit Hotel Properties ,INN,Deutsche Bank Securities/ Baird/ RBC Capital Markets,9.75,9.9,9.69,-0.0062
1648,2011/2/10,Fluidigm ,FLDM,Deutsche Bank Securities/ Piper Jaffray,13.5,13.5,14.02,0.0385
1649,2011/2/11,AcelRx Pharmaceuticals ,ACRX,Piper Jaffray,5,5,4.55,-0.09
1650,2011/2/11,Kinder Morgan,KMI,"Goldman, Sachs/ Barclays Capital",30,31.7,31.05,0.035
1651,2011/2/11,Kips Bay Medical ,KIPS,"Rodman & Renshaw, LLC/ Newbridge Securities Corporation",8,8,7.93,-0.0088
1652,2011/2/15,Zuoan Fashion Limited ,ZA,Cowen ,7,7,7.04,0.0057
1653,2011/2/16,RLJ Acquisition ,RLJAU,Lazard Capital Markets,10,10,10.02,0.002
1654,2011/2/22,China VantagePoint Acquisition,CHVF,EarlyBirdCapital,6,5.99,5.99,-0.0017
1655,2011/2/25,Solar Senior Capital Ltd. ,SUNS,Citi/ Wells Fargo Securities/ Deutsche Bank Securitie/ SunTrust Robinson Humphrey,20,19.7,19.6,-0.02
1656,2011/3/10,HCA Holdings  ,HCA,"BofA Merrill Lynch/ Citi/ J.P. Morgan/ Barclays Capital/ Credit Suisse/ Deutsche Bank Securities/ Goldman, Sachs/ Morgan Stanley/ Wells Fargo Securities",30,31.2,31.02,0.034
1657,2011/3/11,MagnaChip Semiconductor ,MX,Barclays Capital/ Deutsche Bank Securities,14,14,14.01,0.0007
1658,2011/3/17,Cornerstone OnDemand ,CSOD,"Goldman, Sachs/ Barclays Capital",13,18,19.07,0.4669
1659,2011/3/21,Lone Oak Acquisition ,LOKAF,EarlyBirdCapita,8,8.03,7.98,-0.0025
1660,2011/3/25,ServiceSource International ,SREV,Morgan Stanley/ Deutsche Bank Securities,10,13.65,12.18,0.218
1661,2011/3/25,Prime Acquisition ,PACQU,Chardan Capital Markets,10,10,10,0
1662,2011/3/30,Apollo Global Management ,APO,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Citi/ Credit Suisse/ Deutsche Bank Securities/ UBS Investment Bank",19,18.7,18.2,-0.0421
1663,2011/3/30,Qihoo 360 Technology ,QIHU,UBS Investment Bank/ Citi,14.5,27,34,1.3448
1664,2011/4/1,GNC Holdings ,GNC,"Goldman, Sachs & Co. / J.P. Morgan",16,16.6,16.75,0.0469
1665,2011/4/1,Preferred Apartment Communities ,APTS,Wunderlich Securities,10,10,9.85,-0.015
1666,2011/4/4,Tranzyme   ,TZYM,Citi,4,4,4,0
1667,2011/4/7,SandRidge Mississippian Trust I  ,SDT, Raymond James/ Morgan Stanley ,21,21.75,24.21,0.1529
1668,2011/4/8,"CVR Partners, LP ",UAN,"Morgan Stanley/ Barclays Capital/ Goldman, Sachs & Co.",16,18,17.55,0.0969
1669,2011/4/8,Golar LNG Partners LP ,GMLP,Citi/ BofA Merrill Lynch/ Morgan Stanley,22.5,24.5,24.85,0.1044
1670,2011/4/8,PennantPark Floating Rate Capital Ltd. ,PFLT,Morgan Stanley/ SunTrust Robinson Humphrey/ UBS Investment Bank,15,14.11,13.4,-0.1067
1671,2011/4/13,SCG Financial Acquisition ,SCGQU,Lazard Capital Markets/ Ladenburg Thalmann,10,10,10,0
1672,2011/4/14,Arcos Dorados Holdings ,ARCO,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Itau BBA/ Citi,17,21,21.2,0.2471
1673,2011/4/14,Box Ships ,TEU,UBS Investment Bank/ Morgan Stanley,12,12,11,-0.0833
1674,2011/4/14,TMS International ,TMS,BofA Merrill Lynch/Credit Suisse/J.P. Morgan,13,12.4,12.58,-0.0323
1675,2011/4/14,Zipcar ,ZIP,Goldman Sachs/J.P. Morgan,18,29,28,0.5556
1676,2011/4/15,Ellie Mae ,ELLI,Barclays Capital,6,6,6.77,0.1283
1677,2011/4/15,Sequans Communications S.A. ,SQNS,UBS Investment Bank/ Jefferies,10,9,8.25,-0.175
1678,2011/4/15,STAG Industrial ,STIR,BofA Merrill Lynch/ J.P. Morgan/ UBS Investment Bank,13,12,12.5,-0.0385
1679,2011/4/18,Global Cornerstone Holdings  ,GCRSF,Citi/ Deutsche Bank Securities,10,10,9.95,-0.005
1680,2011/4/18,Air Lease ,AL, J.P. Morgan/ Credit Suisse/ Barclays Capital/ FBR Capital Markets/ RBC Capital Markets/ Wells Fargo Securities ,26.5,27.25,27.95,0.0547
1681,2011/4/20,Sagent Pharmaceuticals ,SGNT,Morgan Stanley/ BofA Merrill Lynch/ Jefferies & Company,16,18.25,19.9,0.2438
1682,2011/4/20,Tesoro Logistics LP ,TLLP,Citi/ Wells Fargo Securities/ BofA Merrill Lynch/ Credit Suisse,21,23.25,23.5,0.119
1683,2011/4/21,21Vianet Group  ,VNET,Morgan Stanley/ Barclays Capital/ J.P. Morgan Securities,15,20.26,18.8,0.2533
1684,2011/4/21,Responsys ,MKTG,Morgan Stanley/ Credit Suisse,12,16,15.4,0.2833
1685,2011/5/4,Boingo Wireless ,WIFI,Credit Suisse/ Deutsche Bank Securities,13.5,12.5,12.1,-0.1037
1686,2011/5/4,Renren ,RENN,Morgan Stanley/ Deutsche Bank Securities/ Credit Suisse,14,19.5,18.01,0.2864
1687,2011/5/4,RPX Corporation ,RPXC,"Goldman, Sachs/ Barclays Capital",19,24.1,23.88,0.2568
1688,2011/5/5,NetQin Mobile ,NQ,Piper Jaffray,11.5,11.5,9.3,-0.1913
1689,2011/5/5,SMG Indium Resources ,SGMEU,Sunrise Securities/ Rodman & Renshaw,5,5.05,5,0
1690,2011/5/5,Thermon Group Holdings ,THR,Barclays Capital/ Jefferies,12,12.05,12.28,0.0233
1691,2011/5/5,VOC Energy Trust ,VOC,Raymond James/ Morgan Stanley,21,22.26,21,0
1692,2011/5/10,Universal Business Payment Solutions Acquisition  ,UBPSU,EarlyBirdCapital/ Rodman & Renshaw,6,6,6,0
1693,2011/5/11,FriendFinder Network ,FFN,Imperial Capital/ Ladenburg Thalmann & Co. Inc.,10,10,7.85,-0.215
1694,2011/5/11,Jiayuan.com International ,DATE,BofA Merrill Lynch/ Citi,11,11,10.52,-0.0436
1695,2011/5/11,Kosmos Energy ,KOS,Credit Suisse/ Barclays Capital / Citi/,18,19.5,18.24,0.0133
1696,2011/5/11,RLJ Lodging Trust ,RLJ,BofA Merrill Lynch/ Barclays Capital/ Wells Fargo Securities,18,17.25,17.68,-0.0178
1697,2011/5/12,China Zenix Auto International  ,ZX,Morgan Stanley,6,6,5.85,-0.025
1698,2011/5/12,NGL Energy Partners LP  ,NGL,Wells Fargo Securities/ RBC Capital Markets/ SunTrust Robinson Humphrey/ BMO Capital Markets,21,21,20.98,-0.001
1699,2011/5/12,Phoenix New Media  ,FENG,Morgan Stanley/ Deutsche Bank Securities/ Macquarie Capital,11,11.1,14.75,0.3409
1700,2011/5/13,Global Eagle Acquisition  ,REAGLU,Citi,10,10,10.2,0.02
1701,2011/5/19,LinkedIn ,LNKD,Morgan Stanley/ BofA Merrill Lynch /J..P. Morgan Securities,45,83,94.25,1.0944
1702,2011/5/24,Yandex N.V. ,YNDX,"Morgan Stanley/ Deutsche Bank Securities/ Goldman, Sachs",25,35,38.84,0.5536
1703,2011/5/24,Active Network (The) ,ACTV,BofA Merrill Lynch/ Citi,15,15,15.9,0.06
1704,2011/5/26,"Freescale Semiconductor Holdings I, Ltd ",FSL,Citi/ Deutsche Bank Securities/ Barclays Capital/ Credit Suisse/ JPMorgan,18,19,18.33,0.0183
1705,2011/5/26,Lone Pine Resources ,LPR,J.P. Morgan/ Credit Suisse/ TD Securities,13,12.45,11.55,-0.1115
1706,2011/5/26,Spirit Airlines ,SAVE,Citi/ Morgan Stanley,12,11.35,12.11,0.0092
1707,2011/5/26,Solazyme ,SZYM,"Morgan Stanley/ Goldman, Sachs",18,19.6,20.71,0.1506
1708,2011/5/31,China Growth Equity Investment ,CGEIU,Deutsche Bank Securities,10,10.02,10.03,0.003
1709,2011/6/9,Fusion-io ,FIO,"Goldman, Sachs/ Morgan Stanley/ J.P. Morgan/ Credit Suisse",19,25,22.5,0.1842
1710,2011/6/9,Taomee Holdings ,TAOM,Credit Suisse/ Deutsche Bank Securities,9,8.49,8.23,-0.0856
1711,2011/6/15,Compressco Partners L.P. ,GSJK,Raymond James/JPMorgan,20,20,19,-0.05
1712,2011/6/15,Pandora Media ,P,Morgan Stanley/ J .P. Morgan Securities/ Citi,16,20,17.42,0.0888
1713,2011/6/16,Empeiria Acquisition ,EPAQU,"Cohen & Company Capital Markets, LLC   I-Bankers Securities",10,9.95,10,0
1714,2011/6/17,Bankrate ,RATE,"Goldman, Sachs/ BofA Merrill Lynch / Citi/ J.P. Morgan",15,14,15.34,0.0227
1715,2011/6/21,Trio Merger ,TMRGU,EarlyBirdCapital,10,10,10.01,0.001
1716,2011/6/22,Fidus Investment ,FDUS,Morgan Keegan,15,14.75,15,0
1717,2011/6/22,Vanguard Health Systems ,VHS,BofA Merrill Lynch/ Barclays Capital/ Citi/ Deutsche Bank Securities/ J.P. Morgan,18,18.01,18.05,0.0028
1718,2011/6/24,KiOR ,KIOR,"Credit Suisse/ UBS Investment Bank/ Goldman, Sachs",15,15,15,0
1719,2011/6/29,HomeAway ,AWAY,Morgan Stanley,27,36.1,40.21,0.4893
1720,2011/6/30,Azteca Acquisition ,AZTAU,Deutsche Bank Securities,10,10,10,0
1721,2011/6/30,AG Mortgage Investment Trust  ,MITT,Deutsche Bank Securities/ Stifel Nicolaus Weisel/ RBC Capital Markets,20,19.64,19.64,-0.018
1722,2011/7/14,"Oiltanking Partners, L.P. ",OILT,Citi/ Barclays Capital/ J.P. Morgan/ Morgan Stanley,21.5,24,23.7,0.1023
1723,2011/7/15,Blue Wolf Mongolia Holdings ,MNGLU,Deutsche Bank Securities,10,9.99,10.03,0.003
1724,2011/7/15,Nautilus Marine Acquisition ,NMAR.U,Maxim Group,10,9.95,9.92,-0.008
1725,2011/7/20,Skullcandy ,SKUL,BofA Merrill Lynch/ Morgan Stanley,20,23,20,0
1726,2011/7/20,Zillow  ,Z,Citi,20,60,35.77,0.7885
1727,2011/7/21,SunCoke Energy ,SXC,"Credit Suisse/BofA Merrill Lynch/ Goldman, Sachs & Co.",16,17,17,0.0625
1728,2011/7/22,Apollo Residential Mortgage ,AMTG,Morgan Stanley/ Credit Suisse/ J.P. Morgan,20,19,18.65,-0.0675
1729,2011/7/22,Francescas Holdings ,FRAN,"Goldman, Sachs/ J.P. Morgan/ Jefferies",17,23,27.65,0.6265
1730,2011/7/27,"American Midstream Partners, LP ",AMID,Cit/ BofA Merrill Lynch,21,21,20.95,-0.0024
1731,2011/7/27,Dunkin Brands Group ,DNKN,"J.P. Morgan/ Barclays Capital/ Morgan Stanley/ BofA Merrill Lynch/ Goldman, Sachs",19,25,27.85,0.4658
1732,2011/7/27,Tangoe ,TNGO,Deutsche Bank/Stifel Niclous Weisel,10,11,11.65,0.165
1733,2011/7/28,Chefs Warehouse Holdings ,CHEF,Jefferies/ BMO Capital Markets/ Wells Fargo Securities,15,17,17.5,0.1667
1734,2011/7/28,Horizon Pharma ,HZNP,Stifel Nicolaus Weisel/ Cowen/ JMP Securities,9,9,9.15,0.0167
1735,2011/7/28,Teavana Holdings ,TEA,"BofA Merrill Lynch/ Goldman, Sachs",17,28.95,27.8,0.6353
1736,2011/7/28,Wesco Aircraft Holdings ,WAIR,Barclays Capital/ Morgan Stanley,15,14.75,14.92,-0.0053
1737,2011/7/29,C&J Energy Services ,CJES,"Goldman, Sachs/ J.P. Morgan/ Citi",29,30,30.5,0.0517
1738,2011/8/4,American Capital Mortgage Investment ,MTGE,Citi/ Deutsche Bank Securities/ UBS Investment Bank/ Wells Fargo Securities,20,19,18.41,-0.0795
